/* DATA DESCRIPTION:
	TARA_20100127Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 11.500000 * LONGITUDE START: 43.100000 * LATITUDE END: 11.500000 * LONGITUDE END: 43.100000 * DATE/TIME START: 2010-01-27T00:00:00 * DATE/TIME END: 2010-02-13T00:00:00 * CAMPAIGN: TARA_20100127Z (Djibouti to Djibouti, Stations: Coral sampling) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20100214Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 11.500000 * LONGITUDE START: 43.100000 * LATITUDE END: 24.500000 * LONGITUDE END: 54.300000 * DATE/TIME START: 2010-02-14T00:00:00 * DATE/TIME END: 2010-02-26T00:00:00 * CAMPAIGN: TARA_20100214Z (Djibouti to Abu Dhabi, Stations: none) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20100302Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 25.741670 * LONGITUDE START: 55.277130 * LATITUDE END: 23.954240 * LONGITUDE END: 58.340200 * DATE/TIME START: 2010-03-02T00:00:00 * DATE/TIME END: 2010-03-05T00:00:00 * CAMPAIGN: TARA_20100302Z (Abu Dhabi to Muscat, Stations: none) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20100309Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 23.677300 * LONGITUDE START: 58.700810 * LATITUDE END: 17.495520 * LONGITUDE END: 68.139030 * DATE/TIME START: 2010-03-09T00:00:00 * DATE/TIME END: 2010-03-22T00:00:00 * CAMPAIGN: TARA_20100309Z (Muscat to Mumbai, Stations: TARA_036-040) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20100327Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 18.268110 * LONGITUDE START: 72.268510 * LATITUDE END: 4.207600 * LONGITUDE END: 73.294200 * DATE/TIME START: 2010-03-27T00:00:00 * DATE/TIME END: 2010-04-06T00:00:00 * CAMPAIGN: TARA_20100327Z (Mumbai to Malé, Stations: TARA_041-043) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20100410Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 4.146430 * LONGITUDE START: 73.363670 * LATITUDE END: -16.800000 * LONGITUDE END: 59.400000 * DATE/TIME START: 2010-04-10T00:00:00 * DATE/TIME END: 2010-04-23T00:00:00 * CAMPAIGN: TARA_20100410Z (Malé to Saint Brandon, Stations: TARA_044-049) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20100423Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: -16.800000 * LONGITUDE START: 59.400000 * LATITUDE END: -16.400000 * LONGITUDE END: 59.600000 * DATE/TIME START: 2010-04-23T00:00:00 * DATE/TIME END: 2010-05-04T00:00:00 * CAMPAIGN: TARA_20100423Z (Saint Brandon to Saint Brandon, Stations: Coral sampling) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20100504Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: -16.400000 * LONGITUDE START: 59.500000 * LATITUDE END: -20.000000 * LONGITUDE END: 57.400000 * DATE/TIME START: 2010-05-04T00:00:00 * DATE/TIME END: 2010-05-06T00:00:00 * CAMPAIGN: TARA_20100504Z (Saint Brandon to Port Louis, Stations: none) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20100508Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: -20.100000 * LONGITUDE START: 57.330620 * LATITUDE END: -21.331330 * LONGITUDE END: 55.384430 * DATE/TIME START: 2010-05-08T00:00:00 * DATE/TIME END: 2010-05-12T00:00:00 * CAMPAIGN: TARA_20100508Z (Port Louis to Saint Denis, Stations: TARA_050-051) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20100515Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: -20.866400 * LONGITUDE START: 55.227830 * LATITUDE END: -12.227850 * LONGITUDE END: 49.398000 * DATE/TIME START: 2010-05-15T00:00:00 * DATE/TIME END: 2010-05-20T00:00:00 * CAMPAIGN: TARA_20100515Z (Saint Denis to Antseranana, Stations: TARA_052) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
